"","continent","date","values"
"2811","Africa","11/5/2021",55
"2812","Africa","11/6/2021",55
"2813","Africa","11/7/2021",55
"2814","Africa","11/8/2021",55
"2815","Africa","11/9/2021",55
"2816","Africa","11/10/2021",55
"2817","Africa","11/11/2021",55
"2818","Africa","11/12/2021",55
"2819","Africa","11/13/2021",55
"2820","Africa","11/14/2021",55
"2821","Africa","11/15/2021",55
"2822","Africa","11/16/2021",55
"2823","Africa","11/17/2021",55
"2824","Africa","11/18/2021",55
"2825","Africa","11/19/2021",55
"2826","Africa","11/20/2021",55
"2827","Africa","11/21/2021",55
"2828","Africa","11/22/2021",55
"2829","Africa","11/23/2021",55
"2830","Africa","11/24/2021",55
"2831","Africa","11/25/2021",55
"2832","Africa","11/26/2021",55
"2833","Africa","11/27/2021",55
"2834","Africa","11/28/2021",55
"2835","Africa","11/29/2021",55
"2836","Africa","11/30/2021",55
"2837","Africa","12/1/2021",55
"2838","Africa","12/2/2021",55
"2839","Africa","12/3/2021",55
"2840","Africa","12/4/2021",55
"2841","Africa","12/5/2021",55
"2842","Africa","12/6/2021",55
"2843","Africa","12/7/2021",55
"2844","Africa","12/8/2021",55
"2845","Africa","12/9/2021",55
"2846","Africa","12/10/2021",55
"2847","Africa","12/11/2021",55
"2848","Africa","12/12/2021",55
"2849","Africa","12/13/2021",55
"2850","Africa","12/14/2021",55
"2851","Africa","12/15/2021",55
"2852","Africa","12/16/2021",55
"2853","Africa","12/17/2021",55
"2854","Africa","12/18/2021",55
"2855","Africa","12/19/2021",55
"2856","Africa","12/20/2021",55
"2857","Africa","12/21/2021",55
"2858","Africa","12/22/2021",55
"2859","Africa","12/23/2021",55
"2860","Africa","12/24/2021",55
"2861","Africa","12/25/2021",55
"2862","Africa","12/26/2021",55
"2863","Africa","12/27/2021",55
"2864","Africa","12/28/2021",55
"2865","Africa","12/29/2021",55
"2866","Africa","12/30/2021",55
"2867","Africa","12/31/2021",55
"2868","Africa","1/1/2022",55
"2869","Africa","1/2/2022",55
"2870","Africa","1/3/2022",55
"2871","Africa","1/4/2022",55
"2872","Africa","1/5/2022",55
"2873","Africa","1/6/2022",55
"2874","Africa","1/7/2022",55
"2875","Africa","1/8/2022",55
"2876","Africa","1/9/2022",55
"2877","Africa","1/10/2022",55
"2878","Africa","1/11/2022",55
"2879","Africa","1/12/2022",55
"2880","Africa","1/13/2022",55
"2881","Africa","1/14/2022",55
"2882","Africa","1/15/2022",55
"2883","Africa","1/16/2022",55
"2884","Africa","1/17/2022",55
"2885","Africa","1/18/2022",55
"2886","Africa","1/19/2022",55
"2887","Africa","1/20/2022",55
"2888","Africa","1/21/2022",55
"2889","Africa","1/22/2022",55
"2890","Africa","1/23/2022",55
"2891","Africa","1/24/2022",55
"2892","Africa","1/25/2022",55
"2893","Africa","1/26/2022",55
"2894","Africa","1/27/2022",55
"2895","Africa","1/28/2022",55
"2896","Africa","1/29/2022",55
"2897","Africa","1/30/2022",55
"2898","Africa","1/31/2022",55
"2899","Africa","2/1/2022",55
"2900","Africa","2/2/2022",55
"2901","Africa","2/3/2022",55
"2902","Africa","2/4/2022",55
"2903","Africa","2/5/2022",55
"2904","Africa","2/6/2022",55
"2905","Africa","2/7/2022",55
"2906","Africa","2/8/2022",55
"2907","Africa","2/9/2022",55
"2908","Africa","2/10/2022",55
"2909","Africa","2/11/2022",55
"2910","Africa","2/12/2022",55
"2911","Africa","2/13/2022",55
"2912","Africa","2/14/2022",55
"2913","Africa","2/15/2022",55
"2914","Africa","2/16/2022",55
"2915","Africa","2/17/2022",55
"2916","Africa","2/18/2022",55
"2917","Africa","2/19/2022",55
